+--------------------------------------+----------+-----------+----------+--------------------+---------+--------------+---------+
| ID                                   | Match_ID | Player_ID | Position | Time               | Deleted | Deleted_TIME | Captain |
| 8e8c9f7e-6d15-4aaa-b8b8-b7a433e13b36 | 1349601  | 93710     | CB       | 15.039112281799316 |    NULL |         NULL |    NULL |
| 947d4f50-d720-4ddf-a05f-3f3cb00d6cd4 | 1349601  | 33605     | RM       | 15.039112281799316 |    NULL |         NULL |    NULL |
| 9993a2d5-b84d-45ce-b408-b9a47f870f5c | 1349601  | 66233     | GK       |  44.30892496506373 |    NULL |         NULL |    NULL |
| 9a0d25a6-b37c-4386-89f8-104badbc7bf6 | 1349601  | 63978     |          |  44.30892496506373 |    NULL |         NULL |    NULL |
| 9b102e83-1d5e-4e8c-8e2e-ef518123ee92 | 1349601  | 11044     | LB       | 57.460390067100526 |    NULL |         NULL |    NULL |
| a8c4e13b-a101-4303-a707-b1d600e7cd12 | 1349601  | 15652     | LCF      | 30.666667250792184 |    NULL |         NULL |    NULL |
| a8e2664c-a5b7-4cbf-99bf-0d9ef85734d5 | 1349601  | 93710     | CB       |  44.30892496506373 |    NULL |         NULL |    NULL |
| add631a3-b00a-42b8-bbee-47e6a99952dc | 1349601  | 15652     |          | 57.460390067100526 |    NULL |         NULL |    NULL |
| bc96b764-60b8-4e69-8ddc-8bb33ec28a8e | 1349601  | 63978     | LM       | 15.039112281799316 |    NULL |         NULL |    NULL |
| bf06b29e-f419-477d-bea1-9178d553e43d | 1349601  | 20570     | LB       | 15.039112281799316 |    NULL |         NULL |    NULL |
| bf756c80-2b1d-46f9-9840-ee1253ec14da | 1349601  | 33605     | RM       |  44.58548646767934 |    NULL |         NULL |    NULL |
| c77dbda8-67be-4cfb-b505-2ac79abe8065 | 1349601  | 36065     |          |  44.58548646767934 |    NULL |         NULL |    NULL |
| cbf15288-2c3f-4c7e-b907-9227452ae1ca | 1349601  | 66233     | GK       | 30.666667250792184 |    NULL |         NULL |    NULL |
| cd20a082-ab50-4f27-bd4d-f5918107e29a | 1349601  | 11044     | LB       |  44.30892496506373 |    NULL |         NULL |    NULL |
| d14b9d5a-d2c6-48aa-abf8-f1c615cf3f90 | 1349601  | 95230     | RCF      |  44.58548646767934 |    NULL |         NULL |    NULL |
| d89da6af-2ce9-4312-b4df-e97274ef1d1f | 1349601  | 91830     | RB       | 57.460390067100526 |    NULL |         NULL |    NULL |
| da225103-7fac-435a-a17e-041af6767764 | 1349601  | 90896     |          |  44.30892496506373 |    NULL |         NULL |    NULL |
| dd18e9b8-3e89-4834-a04f-91f7d392c3f2 | 1349601  | 39127     |          | 57.460390067100526 |    NULL |         NULL |    NULL |
| e10e9da1-c51f-4ea0-8dba-a88d18905dc5 | 1349601  | 20570     | LCM      | 57.460390067100526 |    NULL |         NULL |    NULL |
| e476e6ce-e12e-4bc5-9791-225ec27ec178 | 1349601  | 91830     |          | 15.039112281799316 |    NULL |         NULL |    NULL |
| f49e3e9d-256e-4eef-97f7-a737b5765421 | 1349601  | 33605     | RM       | 57.460390067100526 |    NULL |         NULL |    NULL |
| f4f0e7e3-81d3-4769-9e86-033ef2af3b45 | 1349601  | 36065     |          | 30.666667250792184 |    NULL |         NULL |    NULL |
| f54da126-6786-4d02-aadc-7d3b25d0cf84 | 1349601  | 66233     | GK       | 57.460390067100526 |    NULL |         NULL |    NULL |
| f682e3a9-ee15-4814-b9b6-5ac3e58cfd3e | 1349601  | 63978     | CM       | 30.666667250792184 |    NULL |         NULL |    NULL |
| f7608568-fbf4-43e9-be1c-34b52a6a9a37 | 1349601  | 20570     |          |  44.58548646767934 |    NULL |         NULL |    NULL |
| f8e6ccef-6163-4514-b5eb-38547407327b | 1349601  | 63842     |          | 15.039112281799316 |    NULL |         NULL |    NULL |
| fa134684-71b5-4ba1-8658-c42be63f5ed4 | 1349601  | 20570     | LB       | 30.666667250792184 |    NULL |         NULL |    NULL |
+--------------------------------------+----------+-----------+----------+--------------------+---------+--------------+---------+
